番号,元信号,観測信号d(n),疑似エコーy(n),誤差,誤差10log10(e^2),,,
149,0.983709,-0.149395,-0.018914,-0.130481,-17.689065,,,1430.997
150,0.457264,0.573438,0.560742,0.012696,-37.926585,,,-215.527
151,-1.025,-0.515769,-0.470215,-0.045554,-26.829419,,,-943.153
152,0.827022,-1.351926,-1.456028,0.104102,-19.650839,,,224.656
153,1.137556,1.035261,1.132804,-0.097544,-20.216018,,,201.251
154,0.8349,0.501434,0.470685,0.030749,-30.243485,,,139.305
155,0.196059,0.025903,0.037493,-0.011589,-38.718983,,,2188.023
156,-0.829865,-1.116824,-1.103159,-0.013665,-37.28793,,,-655.093
157,0.806684,1.464332,1.526388,-0.062056,-24.144356,,,-305.283
158,0.178779,0.030099,0.000639,0.02946,-30.615386,,,278.858
159,0.539935,0.685261,0.656794,0.028467,-30.913027,,,2471.243
160,0.805915,-0.638434,-0.807451,0.169016,-15.441435,,,418.438
161,0.418344,-0.184943,-0.273878,0.088935,-21.018567,,,-618.297
162,0.05363,0.606687,0.577712,0.028975,-30.759572,,,122.283
163,-0.041168,0.107174,0.140596,-0.033423,-29.519163,,,-1045.924
164,2.036712,0.27937,0.300047,-0.020677,-33.690277,,,2517.116
165,-0.497269,0.459045,0.556375,-0.09733,-20.235054,,,-115.266
166,-0.238002,-0.091345,-0.029947,-0.061398,-24.236875,,,451.031
167,-0.772381,0.02916,0.055999,-0.026838,-31.424838,,,889.657
168,0.204594,-0.063148,-0.014973,-0.048175,-26.343643,,,-345.02
169,-1.722096,1.499286,1.512475,-0.013189,-37.595928,,,-1083.084
170,-0.456923,-1.248874,-1.274602,0.025729,-31.79168,,,-827.037
171,-0.983685,0.231775,0.233412,-0.001637,-55.720745,,,-535.605
172,1.607195,-0.778048,-0.773254,-0.004794,-46.385851,,,579.641
173,0.74957,0.61475,0.622344,-0.007595,-42.389944,,,1879.117
174,0.252046,-1.631151,-1.686459,0.055308,-25.144277,,,-268.173
175,0.672123,0.554509,0.563371,-0.008861,-41.050161,,,-619.371
176,1.255341,-0.756087,-0.841326,0.085238,-21.387303,,,99.029
177,-1.035323,1.912678,1.93535,-0.022672,-32.890074,,,475.036
178,-0.04382,-0.541933,-0.520926,-0.021007,-33.552886,,,489.894
179,-0.656037,0.319089,0.306511,0.012577,-38.008309,,,-896.209
180,-0.339619,0.136646,0.085344,0.051302,-25.797369,,,-860.258
181,-1.361369,0.928206,0.956731,-0.028525,-30.895379,,,2007.743
182,-0.590042,-1.616234,-1.631477,0.015242,-36.339001,,,-392.308
183,0.404587,0.718793,0.733496,-0.014703,-36.6518,,,131.071
184,-0.80699,-0.97515,-0.972729,-0.002421,-52.319178,,,-189.942
185,-0.133142,0.308455,0.330319,-0.021864,-33.205396,,,2024.954
186,-0.915418,-1.241401,-1.272996,0.031595,-30.007652,,,1455.268
187,0.586361,0.534108,0.551521,-0.017414,-35.182118,,,-2186.841
188,0.554291,0.000687,0.024581,-0.023893,-32.43448,,,-893.648
189,-1.401692,-0.435566,-0.438724,0.003157,-50.013684,,,587.168
190,-0.829842,-0.146943,-0.145414,-0.001529,-56.31091,,,-416.884
191,0.310497,-0.282659,-0.312403,0.029745,-30.53176,,,-2106.589
192,0.243662,0.522994,0.534508,-0.011514,-38.775772,,,-1352.674
193,0.260744,0.229113,0.206467,0.022645,-32.900467,,,1032.474
194,0.843678,-1.52115,-1.517027,-0.004123,-47.696686,,,26.109
195,-0.993154,0.205141,0.170439,0.034702,-29.192917,,,758.026
196,1.727048,0.299508,0.305061,-0.005552,-45.110631,,,-101.1
197,0.230569,0.233837,0.230108,0.003729,-48.568016,,,673.141
198,-0.196666,0.015862,0.0589,-0.043038,-27.32292,,,-38.146
199,-0.897515,0.559268,0.562023,-0.002755,-51.197063,,,-573.107
200,-0.031638,-1.054614,-1.008016,-0.046598,-26.632732,,,-220.408
201,-0.378897,1.946727,1.951804,-0.005077,-45.887195,,,185.714
202,-0.694435,-0.896472,-0.882126,-0.014345,-36.865856,,,684.499
203,1.866959,0.154024,0.140107,0.013917,-37.129053,,,803
204,1.74404,-0.968211,-0.990555,0.022343,-33.017036,,,-17.522
205,-0.994846,0.679872,0.625987,0.053885,-25.370621,,,-735.74
206,-2.129722,-0.745132,-0.75382,0.008688,-41.221785,,,789.026
207,-0.036654,0.207563,0.225379,-0.017816,-34.984017,,,896.586
208,-0.394534,1.322872,1.355783,-0.032911,-29.653265,,,552.725
209,0.629293,0.882591,0.888298,-0.005707,-44.872539,,,-1451.698
210,0.7441,-1.849239,-1.878515,0.029276,-30.6698,,,837.772
211,-1.350922,-0.673566,-0.646327,-0.027239,-31.296028,,,730.838
212,-0.168904,0.34413,0.357267,-0.013137,-37.630047,,,1912.137
213,-1.572634,-0.005464,0.0216,-0.027064,-31.352208,,,-532.613
214,1.071478,0.590452,0.590815,-0.000362,-68.814512,,,1078.232
215,-0.86023,0.207529,0.213136,-0.005608,-45.024338,,,81.176
216,-1.170033,-1.349217,-1.361788,0.01257,-38.013124,,,639.188
217,0.453658,0.382029,0.383077,-0.001048,-59.593979,,,-549.419
218,-0.387364,-1.172341,-1.211782,0.039441,-28.081026,,,-518.284
219,-0.656703,1.594061,1.561513,0.032547,-29.749657,,,565.695
220,0.591333,-1.494946,-1.521224,0.026279,-31.607977,,,-782.608
221,-0.384394,0.015629,0.013328,0.002301,-52.76273,,,-1707.55
222,-0.681827,0.376282,0.374239,0.002043,-53.794771,,,479.598
223,-0.100059,-0.350025,-0.345348,-0.004677,-46.600686,,,-1114.079
224,-1.404484,-0.420854,-0.410983,-0.009871,-40.112923,,,-54.006
225,-0.160533,0.901625,0.913976,-0.01235,-38.166508,,,-594.302
226,1.624633,-0.761962,-0.743816,-0.018146,-34.824405,,,-553.84
227,-0.896192,-0.175589,-0.157582,-0.018007,-34.891353,,,926.222
228,1.149798,-0.03488,-0.050645,0.015764,-36.046489,,,10.269
229,-0.520591,-0.897542,-0.910669,0.013127,-37.636483,,,104.576
230,-0.524595,0.510651,0.526927,-0.016276,-35.768927,,,-2637.145
231,-1.352531,1.15617,1.159859,-0.003689,-48.662667,,,-463.389
232,1.203085,-1.156251,-1.162952,0.006701,-43.477012,,,-453.896
233,-1.360117,1.194908,1.223542,-0.028634,-30.862395,,,144.989
234,-0.028414,-1.147578,-1.132955,-0.014623,-36.699104,,,620.111
235,-0.053794,0.198408,0.188761,0.009647,-40.312434,,,551.606
236,0.136668,-1.040793,-1.038066,-0.002726,-51.288308,,,770.651
237,1.402764,1.604375,1.593108,0.011267,-38.963529,,,934.503
238,-0.874568,-1.796437,-1.808779,0.012342,-38.171946,,,-386.046
239,0.011722,0.93926,0.950753,-0.011493,-38.791522,,,1322.451
240,0.465166,-0.579081,-0.576114,-0.002967,-50.553176,,,502.796
241,-0.524161,0.837697,0.83058,0.007117,-42.953816,,,263.698
242,1.476086,0.433511,0.420166,0.013346,-37.493296,,,408.412
243,-0.224338,-0.822808,-0.837997,0.015189,-36.369342,,,-365.673
244,1.098914,0.165552,0.165308,0.000245,-72.228104,,,-45.827
245,1.661942,0.534243,0.518951,0.015291,-36.311054,,,130.383
246,-0.135049,-0.55952,-0.567439,0.007918,-42.027336,,,-100.535
247,0.005424,1.40372,1.424198,-0.020478,-33.77417,,,522.908
248,1.252962,-0.829533,-0.80713,-0.022403,-32.993896,,,-1845.233
249,0.098046,1.267672,1.275071,-0.007399,-42.61652,,,281.654
250,0.597786,0.467065,0.468976,-0.001911,-54.375012,,,14.491
251,-0.494897,-0.349001,-0.35276,0.003758,-48.500316,,,-1013.248
252,-0.958492,-0.110585,-0.109152,-0.001433,-56.875494,,,53.237
253,-1.28872,1.289481,1.308625,-0.019144,-34.359362,,,1105.588
254,0.566751,-0.720108,-0.707126,-0.012983,-37.73281,,,1242.102
255,0.976595,0.826998,0.830314,-0.003316,-49.587994,,,-530.869
256,-0.63537,-1.110862,-1.106634,-0.004228,-47.476461,,,879.31
257,-0.89388,-0.200897,-0.210296,0.009399,-40.538489,,,1415.747
258,-0.207021,-0.826181,-0.833413,0.007232,-42.814506,,,415.378
259,1.070828,1.287063,1.270127,0.016936,-35.423755,,,-765.961
260,-0.778206,0.057726,0.035021,0.022705,-32.877399,,,-545.345
261,-0.087143,-0.527202,-0.533652,0.00645,-43.808784,,,585.735
262,0.126716,-0.809772,-0.811218,0.001446,-56.796144,,,63.873
263,1.397607,0.720228,0.712592,0.007636,-42.342509,,,-564.472
264,0.403281,0.368485,0.370422,-0.001937,-54.255866,,,1125.678
265,-0.01388,-0.698979,-0.698475,-0.000504,-65.955953,,,-7.806
266,0.295116,0.035743,0.042731,-0.006988,-43.1135,,,-649.747
267,0.595678,0.361165,0.362513,-0.001347,-57.410152,,,887.535
268,-0.942164,0.816165,0.814324,0.001842,-54.696062,,,-1167.035
269,-0.927509,-0.159894,-0.158961,-0.000932,-60.607908,,,-560.924
270,1.264916,-0.163573,-0.162787,-0.000786,-62.087309,,,-439.04
271,0.006086,0.3685,0.364907,0.003593,-48.891757,,,-492.391
272,-0.854578,0.031473,0.035105,-0.003632,-48.798095,,,1136.811
273,0.914539,-0.65031,-0.647218,-0.003092,-50.195552,,,-1065.629
274,0.531358,-0.50531,-0.504242,-0.001068,-59.428552,,,1355.9
275,-1.237789,1.414276,1.410133,0.004143,-47.653288,,,-741.75
276,0.424116,-0.716044,-0.72241,0.006366,-43.923044,,,-1035.824
277,-1.205142,-0.39015,-0.382815,-0.007335,-42.692476,,,10.141
278,0.682764,0.94422,0.945381,-0.001161,-58.701252,,,-697.785
279,2.520167,-0.162548,-0.158464,-0.004084,-47.779,,,-288.186
280,-0.28197,-0.943024,-0.936851,-0.006173,-44.190148,,,906.852
281,0.951772,0.657773,0.663431,-0.005657,-44.947716,,,-602.348
282,0.640584,-1.086264,-1.085427,-0.000838,-61.53887,,,247.805
