番号,元信号,観測信号d(n),疑似エコーy(n),誤差,誤差10log10(e^2)
282,2.046915,1.407483,1.607406,-0.199923,-13.982762
283,2.213365,1.206183,1.161484,0.044698,-26.994189
284,1.089127,1.423034,1.137245,0.285789,-10.879083
285,-0.532882,-0.153688,0.378296,-0.531984,-5.482029
286,0.144033,1.00581,0.874885,0.130925,-17.659535
287,-1.065276,0.668889,1.005121,-0.336232,-9.467213
288,-0.67903,0.980034,0.65102,0.329014,-9.655724
289,-0.664614,-0.393293,0.096357,-0.48965,-6.202281
290,-0.317971,-0.697549,-0.503161,-0.194388,-14.226613
291,0.076076,0.051539,-0.48235,0.533889,-5.45098
292,-0.064629,-0.921915,-0.263481,-0.658433,-3.629763
293,0.443291,-0.326072,-0.459697,0.133625,-17.482242
294,1.111399,-0.322386,-0.311857,-0.010529,-39.552304
295,-1.06542,-0.252815,-0.140286,-0.112528,-18.974764
296,-0.944708,0.036947,-0.126601,0.163547,-15.727123
297,-0.525162,-0.263875,0.241038,-0.504913,-5.935666
298,1.780238,0.315217,0.098818,0.216399,-13.294887
299,1.537598,0.240869,0.087615,0.153253,-16.291796
300,1.123326,-1.295006,-0.999633,-0.295373,-10.59259
301,0.619128,-0.445415,-0.435,-0.010415,-39.646829
302,1.01873,-0.007522,0.338329,-0.345851,-9.22222
303,0.317905,1.398263,0.921398,0.476865,-6.43209
304,2.568731,0.435886,0.502106,-0.06622,-23.580192
305,3.849816,0.228196,0.24428,-0.016084,-35.872233
306,3.320547,0.019841,-0.060907,0.080748,-21.857386
307,3.182403,0.49937,0.334183,0.165186,-15.640528
308,1.106777,-0.113316,0.553864,-0.66718,-3.515137
309,1.754726,2.059081,1.414479,0.644602,-3.814165
310,4.882226,1.81758,1.53065,0.28693,-10.844488
311,5.08565,1.180237,1.30924,-0.129002,-17.788039
312,5.316603,1.039437,0.497811,0.541626,-5.326011
313,5.110429,-0.477364,0.495605,-0.972969,-0.238019
314,6.613567,1.313324,1.250215,0.063109,-23.99817
315,6.765637,3.050829,2.52548,0.525349,-5.59104
316,6.282262,2.119799,2.281459,-0.16166,-15.827958
317,5.381001,2.315397,2.262718,0.052679,-25.567293
318,5.466686,1.964113,2.285657,-0.321544,-9.85519
319,4.543634,3.410331,2.916668,0.493662,-6.131397
320,4.840204,2.699347,2.952603,-0.253256,-11.928816
321,3.554643,2.49291,2.288863,0.204047,-13.805405
322,3.444694,1.816827,1.931709,-0.114882,-18.794966
323,1.688613,2.327203,2.189629,0.137574,-17.229258
324,1.603219,1.38028,1.670162,-0.289882,-10.755571
325,-1.362612,2.188067,1.778181,0.409885,-7.746752
326,-1.331861,0.747064,0.950837,-0.203773,-13.817062
327,-1.380632,1.442509,1.058405,0.384105,-8.311007
328,-0.808241,-0.222598,0.147224,-0.369822,-8.640143
329,1.102677,0.591668,-0.130459,0.722127,-2.827723
330,0.348638,-2.132639,-1.162043,-0.970596,-0.259227
331,-0.16746,-0.333053,-1.127595,0.794542,-1.997661
332,-1.451328,-1.109215,-0.674975,-0.43424,-7.2454
333,-1.172553,0.171603,0.207508,-0.035904,-28.897045
334,-1.750647,0.390814,0.153505,0.237309,-12.493729
335,-1.459823,-0.152074,-0.14804,-0.004034,-47.88428
336,-0.7374,-0.883149,-1.008576,0.125427,-18.032208
337,-0.709609,-1.111245,-0.869949,-0.241296,-12.348996
338,-1.001461,-0.83349,-0.913323,0.079833,-21.956305
339,-2.115241,-1.077182,-0.804951,-0.272231,-11.301259
340,0.4984,-0.850776,-0.707646,-0.14313,-16.885402
341,-0.642371,-0.227656,-0.585332,0.357676,-8.930197
342,-1.900205,-0.70021,-0.869368,0.169158,-15.434162
343,-2.262533,-0.752683,-0.735881,-0.016801,-35.493178
