番号,誤差,誤差10log10(e^2),白色信号
8221,0.000187,-37.288865,0.403441
8222,0.000106,-39.737669,-0.381211
8223,0.000018,-47.444400,0.055341
8224,0.000262,-35.812814,-0.347459
8225,0.000569,-32.445134,0.177775
8226,0.001398,-28.544403,-0.774928
8227,0.000000,-87.546054,-0.943256
8228,0.000021,-46.743424,-0.417490
8229,0.000144,-38.406724,0.292955
8230,0.000441,-33.559527,-0.433033
8231,0.000969,-30.138495,0.828142
8232,0.000195,-37.094343,0.328818
8233,0.000213,-36.723688,1.448898
8234,0.000551,-32.588014,-0.539423
8235,0.000522,-32.826679,-0.039799
8236,0.000646,-31.895243,-0.433742
8237,0.000033,-44.852046,-0.064136
8238,0.000888,-30.515345,0.079484
8239,0.000491,-33.085877,-0.857899
8240,0.000803,-30.953293,-1.286187
8241,0.000570,-32.439592,0.588413
8242,0.000105,-39.796379,-0.070483
8243,0.000011,-49.410460,-0.144693
8244,0.000354,-34.506222,0.237724
8245,0.000040,-44.028588,-0.618280
8246,0.002554,-25.927935,-1.116980
8247,0.003036,-25.176634,1.767160
8248,0.001182,-29.272494,-0.784534
8249,0.000057,-42.445322,0.263942
8250,0.000000,-67.395784,-0.850771
8251,0.000313,-35.043803,-0.585729
8252,0.002731,-25.637056,-0.156249
8253,0.002432,-26.140528,0.550504
8254,0.000134,-38.722725,0.976883
8255,0.000866,-30.625603,0.143546
8256,0.000003,-55.242910,1.155724
8257,0.000073,-41.394776,-0.154966
8258,0.000381,-34.189880,0.087928
8259,0.000154,-38.131320,0.988685
8260,0.000122,-39.147661,1.061665
8261,0.000008,-50.888097,0.342981
8262,0.000173,-37.609656,-1.028884
8263,0.000557,-32.542097,0.526256
8264,0.000966,-30.151432,0.225182
8265,0.001541,-28.121492,-2.102200
8266,0.000172,-37.643420,0.910854
8267,0.000280,-35.524741,-0.833877
8268,0.003900,-24.088841,-1.319323
8269,0.000384,-34.152344,-0.038979
8270,0.000041,-43.875301,-1.364848
8271,0.001296,-28.873673,-0.308585
8272,0.000002,-57.049334,-1.200232
8273,0.005090,-22.932413,2.487628
8274,0.001592,-27.981096,-1.147981
8275,0.001048,-29.796418,0.117239
8276,0.000889,-30.508642,-0.900282
8277,0.001307,-28.835781,0.467807
8278,0.006184,-22.087570,-0.330508
8279,0.003192,-24.958823,0.278805
8280,0.001447,-28.396756,-0.807706
8281,0.000113,-39.476002,-1.423541
8282,0.003712,-24.304228,-1.830607
8283,0.000611,-32.138839,-0.432249
8284,0.000218,-36.608547,0.267591
8285,0.000403,-33.951230,-0.579052
8286,0.000461,-33.365249,0.685962
8287,0.005985,-22.229591,2.762070
8288,0.000001,-59.886848,1.455730
8289,0.001318,-28.801077,-2.280930
